ccode,year,attacksum,deathsum
130,2003,4,0
130,2004,2,0
130,2005,0,0
130,2006,0,0
130,2007,0,0
130,2008,2,0
130,2009,1,0
130,2010,0,0
135,1981,149,10
135,1982,349,243
135,1983,536,1818
135,1984,592,2467
135,1985,352,729
135,1986,568,513
135,1987,627,773
135,1988,355,855
135,1989,630,1502
135,1990,495,1146
135,1991,658,1412
135,1992,383,818
135,1993,0,0
135,1994,91,81
135,1995,44,103
135,1996,42,74
135,1997,58,47
135,1998,5,7
135,1999,5,28
135,2000,3,4
135,2001,3,16
135,2002,2,9
135,2003,1,7
135,2004,3,6
135,2005,2,7
135,2006,1,7
135,2007,4,18
135,2008,1,0
135,2009,4,19
135,2010,0,0
140,1981,11,2
140,1982,4,27
140,1983,8,0
140,1984,5,0
140,1985,1,0
140,1986,3,14
140,1987,1,0
140,1988,2,0
140,1989,5,1
140,1990,7,3
140,1991,24,12
140,1992,24,28
140,1993,0,0
140,1994,19,15
140,1995,23,13
140,1996,18,22
140,1997,39,28
140,1998,2,0
140,1999,1,1
140,2000,2,0
140,2001,3,1
140,2002,1,0
140,2003,1,0
140,2004,0,0
140,2005,0,0
140,2006,4,20
140,2007,0,0
140,2008,0,0
140,2009,0,0
140,2010,0,0
145,1981,5,1
145,1982,27,0
145,1983,27,0
145,1984,14,1
145,1985,13,0
145,1986,4,1
145,1987,14,1
145,1988,11,2
145,1989,40,2
145,1990,11,6
145,1991,28,7
145,1992,38,5
145,1993,0,0
145,1994,8,1
145,1995,2,0
145,1996,1,0
145,1997,4,4
145,1998,0,0
145,1999,0,0
145,2000,0,0
145,2001,0,0
145,2002,0,0
145,2003,1,0
145,2004,0,0
145,2005,1,0
145,2006,0,0
145,2007,3,0
145,2008,0,0
145,2009,3,0
145,2010,0,0
150,1981,0,0
150,1982,0,0
150,1983,0,0
150,1984,2,1
150,1985,1,0
150,1986,0,0
150,1987,1,0
150,1988,0,0
150,1989,0,0
150,1990,0,0
150,1991,0,0
150,1992,4,0
150,1993,0,0
150,1994,2,1
