year,ccode,uds
1969,53,0.998611163
1970,53,0.996328783
1971,53,0.701503268
1972,53,1.022601289
1973,53,1.014761904
1974,53,1.025394189
1975,53,1.0217458
1976,53,1.12884591
1977,53,1.121565205
1978,53,1.125945571
1979,53,1.124272929
1980,53,1.160735341
1981,53,1.478522299
1982,53,1.469688309
1983,53,1.318099103
1984,53,1.042822811
1985,53,1.112166443
1986,53,1.18630985
1987,53,1.180128802
1988,53,1.21092994
1989,53,1.17693767
1990,53,1.181382159
1991,53,1.171689215
1992,53,1.183583266
1993,53,1.182101902
1994,53,1.187734792
1995,53,1.181786249
1996,53,1.182621196
1997,53,1.186283599
1998,53,1.179788672
1999,53,1.046600291
2000,53,1.126401537
2001,53,1.047654379
2002,53,1.040359754
2003,53,1.050428152
2004,53,1.054048372
2005,53,1.046308755
2006,53,1.04919846
2007,53,1.048515151
2008,53,1.182592106
1978,54,0.486112681
1979,54,0.585340917
1980,54,0.795595995
1981,54,0.696630075
1982,54,0.695326762
1983,54,0.693312865
1984,54,0.69070607
1985,54,0.643403464
1986,54,0.687902354
1987,54,0.693751682
1988,54,0.802937726
1989,54,0.826756813
1990,54,0.939818105
1991,54,0.936658536
1992,54,0.938659833
1993,54,0.938827876
1994,54,0.938374016
1995,54,1.18275686
1996,54,1.181605584
1997,54,1.18483673
1998,54,1.185525074
1999,54,1.178531692
2000,54,1.351148215
2001,54,1.317024246
2002,54,1.321844824
2003,54,1.321146063
2004,54,1.322641656
2005,54,1.048422162
2006,54,1.047831774
2007,54,1.047430991
2008,54,1.048107532
1974,55,0.485506765
1975,55,0.489398342
1976,55,0.569851561
1977,55,0.635411941
1978,55,0.633482461
1979,55,-0.857696736
1980,55,-1.108193536
1981,55,-1.148904577
1982,55,-1.142146892
1983,55,-1.067786164
1984,55,0.360003337
1985,55,0.758405832
1986,55,0.686523193
1987,55,0.823252563
1988,55,0.906162918
1989,55,0.689551162
1990,55,0.801626229
1991,55,0.939747646
1992,55,0.938848497
1993,55,0.940333053
1994,55,0.939802295
1995,55,0.947355271
1996,55,0.942733881
1997,55,0.936087607
1998,55,0.934064602
1999,55,0.821905458
2000,55,0.942634778
2001,55,0.82257274
2002,55,0.825654969
2003,55,0.931938984
2004,55,0.936738662
2005,55,0.940306947
2006,55,0.944705184
2007,55,0.935226069
