year,ccode,terror_killed,terror_events
1970,150,1,1
1976,150,1,1
1980,150,3,2
1984,150,1,2
1985,150,0,1
1987,150,0,1
1992,150,0,4
1994,150,1,2
1995,150,0,12
1997,150,1,6
1999,150,2,1
2000,150,0,2
1973,155,0,7
1976,155,0,2
1977,155,0,6
1978,155,0,8
1979,155,6,49
1980,155,6,41
1981,155,19,34
1982,155,2,21
1983,155,15,106
1984,155,37,563
1985,155,30,232
1986,155,22,243
1987,155,9,173
1988,155,19,185
1989,155,19,146
1990,155,8,161
1991,155,16,127
1992,155,12,116
1994,155,0,15
1995,155,1,17
1996,155,2,8
1997,155,0,6
1998,155,0,1
1999,155,0,3
2000,155,0,2
2001,155,0,3
2002,155,0,1
2003,155,0,2
2006,155,0,1
2007,155,0,8
2008,155,0,4
1970,160,5,21
1971,160,5,7
1972,160,5,15
1973,160,16,60
1974,160,21,71
1975,160,123,38
1976,160,122,54
1977,160,7,17
1978,160,13,25
1979,160,11,16
1980,160,0,6
1981,160,0,2
1982,160,1,9
1983,160,1,18
1984,160,1,46
1985,160,2,43
1986,160,2,33
1987,160,3,80
1988,160,1,33
1989,160,26,32
1990,160,1,31
1991,160,1,27
1992,160,32,41
1994,160,86,14
1995,160,0,16
1996,160,1,19
1997,160,3,11
1999,160,0,1
2001,160,0,2
2003,160,0,1
2005,160,0,3
1970,165,3,33
1971,165,1,8
1972,165,0,1
1984,165,0,4
1985,165,0,2
1986,165,0,2
1989,165,1,1
1990,165,0,1
1991,165,0,3
1992,165,0,11
1994,165,0,4
1995,165,0,1
1996,165,0,1
1997,165,0,2
2005,165,0,1
1970,200,20,12
1971,200,110,81
1972,200,368,283
1973,200,210,189
1974,200,235,202
1975,200,245,194
1976,200,264,194
1977,200,103,140
1978,200,81,100
1979,200,133,238
1980,200,115,135
1981,200,86,143
1982,200,95,95
1983,200,77,177
1984,200,69,145
1985,200,64,67
1986,200,63,95
1987,200,104,118
1988,200,372,181
1989,200,66,163
1990,200,76,147
1991,200,88,262
1992,200,94,274
1994,200,66,256
1995,200,11,22
1996,200,14,36
1997,200,23,78
1998,200,46,63
1999,200,7,76
2000,200,7,61
2001,200,8,94
2002,200,2,21
2003,200,2,23
2004,200,0,5
2005,200,57,25
2006,200,0,6
2007,200,4,20
2008,200,0,39
1970,205,1,1
1971,205,1,1
1972,205,6,5
1973,205,4,3
1974,205,34,3
1975,205,7,7
1976,205,5,5
1977,205,2,3
1978,205,1,3
1979,205,9,8
1980,205,12,7
1981,205,2,4
1982,205,2,4
1983,205,5,4
1984,205,1,1
1985,205,2,2
1986,205,0,2
1987,205,6,24
1989,205,3,3
1990,205,0,2
1991,205,3,16
1992,205,0,7
1994,205,4,10
1995,205,1,3
1996,205,1,1
1997,205,0,4
1998,205,1,3
1999,205,0,3
2001,205,0,2
2003,205,0,1
2006,205,1,1
2007,205,0,1
2008,205,0,5
1970,210,0,2
1971,210,0,1
1972,210,0,1
1973,210,1,1
1974,210,1,2
1975,210,4,4
1976,210,0,3
1977,210,9,6
1978,210,1,3
1979,210,3,3
1980,210,0,1
1981,210,0,1
1982,210,0,2
1983,210,0,2
1984,210,0,1
1985,210,0,4
1986,210,0,14
1987,210,0,1
1988,210,4,4
1989,210,0,5
1990,210,2,6
1991,210,0,8
1992,210,0,12
1994,210,0,3
1995,210,1,7
1996,210,0,6
1997,210,0,1
1999,210,0,1
2000,210,0,1
2001,210,0,1
2002,210,1,2
2003,210,0,3
2004,210,1,1
2008,210,0,1
1970,211,0,1
1972,211,0,1
1973,211,0,1
1974,211,0,5
1976,211,0,1
1977,211,0,1
1978,211,1,8
1979,211,1,8
1980,211,2,8
1981,211,6,6
1982,211,0,1
1983,211,2,8
1984,211,0,10
1985,211,10,21
1986,211,0,3
1987,211,1,1
1988,211,1,5
1989,211,4,7
1990,211,2,2
